District,Mandal,Total_Demand_Tons,Cattle_Demand,Buffaloes_Demand,Sheep_Demand,Goat_Demand,Pig_Demand,Poultry_Demand
EASTGODAVARI,Seethanagaram,47265.9,6201.8,39106.6,975.5999999999999,943.5,38.400000000000006,0.0
EASTGODAVARI,Thallapudi,25815.8,3170.2000000000003,19367.4,2479.7999999999997,676.8,121.60000000000001,0.0
EASTGODAVARI,Undrajavaram,26469.4,2622.4,23595.0,47.4,111.0,93.60000000000001,0.0
ELURU,Agiripalli,74240.6,3702.6000000000004,61315.8,6608.4,2251.7999999999997,362.0,0.0
ELURU,Bhimadole,37798.2,3300.0000000000005,31717.4,2090.1,677.1,13.600000000000001,0.0
ELURU,Burgampahad,15933.1,7741.8,5863.0,1274.7,1053.6,0.0,0.0
ELURU,Buttayagudem,48542.00000000001,29191.800000000003,14560.0,1231.8,3540.0,18.400000000000002,0.0
ELURU,Chatrai,73024.3,6831.000000000001,58757.4,4517.7,2842.2,76.0,0.0
ELURU,Chintalapudi,99245.70000000001,13833.6,75647.0,4895.099999999999,4305.599999999999,564.4,0.0
ELURU,Denduluru,68229.3,4195.400000000001,56383.6,6390.599999999999,1085.7,174.0,0.0
ELURU,Dwaraka tirumala,115893.6,23317.800000000003,83527.6,6309.599999999999,2669.4,69.2,0.0
ELURU,Eluru,45239.799999999996,3841.2000000000003,38178.4,1874.1,1194.8999999999999,151.20000000000002,0.0
ELURU,Jangareddigudem,78423.8,17762.800000000003,53887.6,4679.099999999999,2094.2999999999997,0.0,0.0
ELURU,JeeluguMilli,36365.100000000006,12643.400000000001,18920.2,1979.6999999999998,2821.7999999999997,0.0,0.0
ELURU,Kaikaluru,35688.3,2002.0000000000002,31447.0,1374.0,861.3,4.0,0.0
ELURU,Kalidindi,35632.799999999996,2706.0,29268.2,2858.4,748.1999999999999,52.0,0.0
ELURU,Kamavarapukota,64112.4,2574.0,53781.0,6065.4,1692.0,0.0,0.0
ELURU,Koyyalagudem,77258.3,24611.4,39026.0,7533.9,6021.0,66.0,0.0
ELURU,Lingapalem,92152.3,12185.800000000001,72724.6,5212.5,1967.3999999999999,62.0,0.0
ELURU,Mandavalli,28732.9,1909.6000000000001,24432.2,2058.9,328.2,4.0,0.0
ELURU,Mudinepalli,41729.00000000001,3194.4,35757.8,1782.8999999999999,948.3,45.6,0.0
ELURU,Musunuru,77393.0,7585.6,60431.8,6806.4,2322.0,247.20000000000002,0.0
ELURU,Nidamarru,19124.999999999996,2035.0000000000002,16640.0,161.1,284.09999999999997,4.800000000000001,0.0
ELURU,Nuzvid,82992.3,5601.200000000001,66333.8,8443.199999999999,2571.2999999999997,42.800000000000004,0.0
ELURU,Pedapadu,59763.1,4840.0,50702.6,2577.0,1633.5,10.0,0.0
ELURU,Pedavegi,92482.3,11996.6,71372.6,6508.2,2472.9,132.0,0.0
ELURU,Polavaram,80879.90000000001,28362.4,48240.4,765.6,3397.5,114.0,0.0
ELURU,T.Narasapuram,73329.4,15714.6,52941.200000000004,2082.0,2527.2,64.4,0.0
ELURU,Unguturu,111543.00000000001,11653.400000000001,55725.8,43083.0,1018.8,62.0,0.0
GUNTUR,Chebrolu,47857.1,1685.2,41688.4,4065.0,296.09999999999997,122.4,0.0
GUNTUR,Duggirala,42320.3,1823.8000000000002,39447.200000000004,760.1999999999999,231.89999999999998,57.2,0.0
GUNTUR,Guntur East,12529.3,2426.6000000000004,9906.0,49.8,141.29999999999998,5.6000000000000005,0.0
GUNTUR,Guntur West,62866.4,2481.6000000000004,56661.8,3229.2,493.79999999999995,0.0,0.0
GUNTUR,Kakumanu,49178.799999999996,1106.6000000000001,47379.8,646.1999999999999,46.199999999999996,0.0,0.0
GUNTUR,Kollipara,44076.200000000004,2017.4,41262.0,605.1,105.3,86.4,0.0
GUNTUR,Mangalagiri,48568.1,2604.8,40820.0,4397.7,699.6,46.0,0.0
GUNTUR,Medikonduru,31019.899999999998,3121.8,26650.0,906.0,315.3,26.8,0.0
GUNTUR,Pedakakani,58174.0,1249.6000000000001,55575.0,1242.8999999999999,106.5,0.0,0.0
GUNTUR,Pedanandipadu,22249.9,2167.0,18751.2,1073.3999999999999,223.5,34.800000000000004,0.0
GUNTUR,Phirangipuram,47628.200000000004,2794.0,41337.4,2960.4,471.59999999999997,64.8,0.0
GUNTUR,Ponnuru,54418.399999999994,1410.2,51638.6,1011.3,332.7,25.6,0.0
